Id;MathScore;ReadingScore;WritingScore;fk_Student;Year
147;51;28;48;36;2021
148;33;70;48;37;2018
149;31;82;28;37;2019
150;24;72;24;37;2020
151;19;63;24;37;2021
152;34;29;33;38;2018
153;32;34;29;38;2019
154;29;38;32;38;2020
155;29;32;31;38;2021
156;59;66;25;39;2018
157;56;80;71;39;2019
158;56;99;65;39;2020
159;50;89;65;39;2021
160;48;59;61;40;2018
161;56;72;57;40;2019
162;64;78;43;40;2020
163;70;68;65;40;2021
164;40;83;47;41;2018
165;32;66;35;41;2019
166;25;50;32;41;2020
167;19;62;21;41;2021
168;50;34;41;42;2018
169;44;42;62;42;2019
170;36;38;35;42;2020
171;43;36;37;42;2021
172;46;81;51;43;2018
173;50;86;36;43;2019
174;54;91;40;43;2020
175;67;94;66;43;2021
176;62;35;83;44;2018
177;51;43;52;44;2019
178;49;41;45;44;2020
179;46;35;40;44;2021
180;31;55;83;45;2018
181;28;68;31;45;2019
182;34;69;33;45;2020
183;29;57;38;45;2021
184;45;30;76;46;2018
185;54;27;39;46;2019
186;65;23;64;46;2020
187;50;23;55;46;2021
188;85;32;69;47;2018
189;74;38;86;47;2019
190;69;45;80;47;2020
191;80;54;63;47;2021
192;41;55;55;48;2018
193;50;61;40;48;2019
194;47;58;61;48;2020
195;55;53;52;48;2021
196;58;30;34;49;2018
197;63;32;48;49;2019
198;59;28;71;49;2020
199;72;28;47;49;2021
200;41;41;60;50;2018
201;48;37;47;50;2019
202;47;29;38;50;2020
203;44;36;49;50;2021
204;63;55;28;51;2018
205;54;58;73;51;2019
206;50;69;52;51;2020
207;59;81;48;51;2021
208;26;63;42;52;2018
209;29;68;27;52;2019
210;36;61;23;52;2020
211;34;63;29;52;2021
212;60;67;64;53;2018
213;68;59;70;53;2019
214;79;45;54;53;2020
215;61;54;65;53;2021
216;28;28;27;54;2018
217;30;34;24;54;2019
218;28;26;30;54;2020
219;34;24;25;54;2021
220;42;30;33;55;2018
221;37;24;46;55;2019
222;35;24;31;55;2020
223;40;24;29;55;2021
224;39;52;86;56;2018
225;46;59;37;56;2019
226;56;61;47;56;2020
227;49;56;63;56;2021
228;35;78;60;57;2018
229;30;84;28;57;2019
230;27;97;31;57;2020
231;24;95;27;57;2021
232;50;57;74;58;2018
233;44;70;58;58;2019
234;51;67;55;58;2020
235;58;76;60;58;2021
236;34;30;36;59;2018
237;38;34;33;59;2019
238;42;31;47;59;2020
239;48;30;49;59;2021
240;46;70;58;60;2018
241;52;77;45;60;2019
242;47;59;43;60;2020
243;44;46;49;60;2021
244;60;60;40;61;2018
245;71;53;59;61;2019
246;70;65;80;61;2020
247;55;67;56;61;2021
248;23;37;59;62;2018
249;22;32;24;62;2019
250;25;30;23;62;2020
251;25;36;31;62;2021
252;23;47;60;63;2018
253;18;48;19;63;2019
254;18;49;15;63;2020
255;18;42;18;63;2021
256;54;58;35;64;2018
257;43;48;63;64;2019
258;41;50;38;64;2020
259;40;55;40;64;2021
260;87;45;56;65;2018
261;101;42;89;65;2019
262;83;34;86;65;2020
263;81;29;80;65;2021
264;45;32;55;66;2018
265;45;40;45;66;2019
266;55;45;42;66;2020
267;67;38;55;66;2021
268;61;70;53;67;2018
269;63;72;69;67;2019
270;61;61;68;67;2020
271;60;53;70;67;2021
272;62;50;34;68;2018
273;62;51;58;68;2019
274;57;39;70;68;2020
275;54;38;50;68;2021
276;46;69;83;69;2018
277;55;86;37;69;2019
278;47;73;57;69;2020
279;46;90;53;69;2021
280;28;58;70;70;2018
281;29;69;33;70;2019
282;26;72;32;70;2020
283;20;80;29;70;2021
284;46;49;39;71;2018
285;37;37;38;71;2019
286;32;36;39;71;2020
287;26;41;24;71;2021
288;61;56;67;72;2018
289;70;46;74;72;2019
290;83;56;61;72;2020
291;92;51;89;72;2021
292;88;46;44;73;2018
293;81;50;86;73;2019
294;87;39;84;73;2020
295;95;34;97;73;2021
296;35;76;56;74;2018
297;28;81;39;74;2019
298;32;89;27;74;2020
299;32;107;30;74;2021
300;47;36;42;75;2018
301;59;33;37;75;2019
302;67;27;49;75;2020
303;77;31;55;75;2021
304;53;49;33;76;2018
305;59;57;51;76;2019
306;46;66;69;76;2020
307;52;82;56;76;2021
308;51;32;30;77;2018
309;48;31;44;77;2019
310;53;27;41;77;2020
311;46;33;66;77;2021
312;53;55;85;78;2018
313;53;68;62;78;2019
314;44;54;56;78;2020
315;41;50;36;78;2021
316;29;58;63;79;2018
317;29;57;30;79;2019
318;36;66;35;79;2020
319;44;81;28;79;2021
320;42;49;37;80;2018
321;48;54;44;80;2019
322;59;48;51;80;2020
323;55;57;68;80;2021
324;32;62;61;81;2018
325;33;71;25;81;2019
326;41;78;30;81;2020
327;39;60;39;81;2021
328;74;42;38;82;2018
329;78;41;79;82;2019
330;90;45;73;82;2020
331;88;44;71;82;2021
332;45;59;39;83;2018
333;40;62;51;83;2019
334;44;49;42;83;2020
335;47;57;52;83;2021
336;35;54;81;84;2018
337;31;45;36;84;2019
338;31;46;31;84;2020
339;29;43;34;84;2021
340;46;45;34;85;2018
341;39;52;48;85;2019
342;42;42;30;85;2020
343;34;46;49;85;2021
344;65;78;90;86;2018
345;74;94;73;86;2019
346;66;101;86;86;2020
347;58;95;50;86;2021
348;42;47;76;87;2018
349;52;51;32;87;2019
350;53;58;53;87;2020
351;55;64;65;87;2021
352;52;29;31;88;2018
353;47;30;52;88;2019
354;47;34;55;88;2020
355;58;34;45;88;2021
356;35;54;61;89;2018
357;41;59;40;89;2019
358;33;50;47;89;2020
359;36;59;37;89;2021
360;43;78;81;90;2018
361;37;68;33;90;2019
362;41;72;34;90;2020
363;37;63;44;90;2021
364;24;47;50;91;2018
365;19;53;30;91;2019
366;21;61;21;91;2020
367;23;57;26;91;2021
368;37;30;33;92;2018
369;30;36;34;92;2019
370;25;33;25;92;2020
371;27;27;26;92;2021
372;27;62;69;93;2018
373;20;50;34;93;2019
374;16;50;17;93;2020
375;18;39;14;93;2021
376;59;73;64;94;2018
377;73;73;71;94;2019
378;60;76;63;94;2020
379;70;65;50;94;2021
380;35;75;62;95;2018
381;37;76;34;95;2019
382;32;77;36;95;2020
383;37;67;33;95;2021
384;43;35;61;96;2018
385;42;36;37;96;2019
386;33;38;35;96;2020
387;29;43;40;96;2021
388;43;31;54;97;2018
389;46;31;40;97;2019
390;35;38;43;97;2020
391;33;38;36;97;2021
392;28;32;85;98;2018
393;27;39;22;98;2019
394;33;44;26;98;2020
395;41;48;31;98;2021
396;54;54;31;99;2018
397;62;58;50;99;2019
398;48;61;58;99;2020
399;50;53;40;99;2021
400;42;33;42;100;2018
401;33;29;32;100;2019
402;33;29;38;100;2020
403;30;34;27;100;2021
404;36;41;67;101;2018
405;43;34;36;101;2019
406;45;35;39;101;2020
407;53;44;56;101;2021
408;31;80;28;102;2018
409;37;76;28;102;2019
410;36;58;29;102;2020
411;31;59;33;102;2021
412;64;56;53;103;2018
413;56;48;58;103;2019
414;61;45;44;103;2020
415;62;38;60;103;2021
416;39;54;34;104;2018
417;46;54;36;104;2019
418;38;55;41;104;2020
419;35;61;35;104;2021
420;44;56;38;105;2018
421;44;45;47;105;2019
422;54;38;50;105;2020
423;47;41;54;105;2021
424;72;67;54;106;2018
425;66;54;62;106;2019
426;54;57;71;106;2020
427;49;70;53;106;2021
428;41;67;51;107;2018
429;38;54;46;107;2019
430;29;67;30;107;2020
431;23;69;29;107;2021
432;27;48;32;108;2018
433;22;55;29;108;2019
434;17;60;27;108;2020
435;16;65;21;108;2021
436;48;59;58;109;2018
437;41;68;49;109;2019
438;37;66;40;109;2020
439;46;59;36;109;2021
440;43;41;44;110;2018
441;52;41;35;110;2019
442;61;43;59;110;2020
443;52;43;58;110;2021
444;58;48;71;111;2018
445;48;41;62;111;2019
446;38;43;38;111;2020
447;30;50;40;111;2021
448;43;62;40;112;2018
449;33;57;39;112;2019
450;40;62;27;112;2020
451;31;53;46;112;2021
452;42;57;42;113;2018
453;34;58;42;113;2019
454;42;60;38;113;2020
455;52;69;32;113;2021
456;32;57;44;114;2018
457;25;67;28;114;2019
458;24;65;30;114;2020
459;19;81;29;114;2021
460;81;45;67;115;2018
461;98;43;97;115;2019
462;92;52;108;115;2020
463;70;60;82;115;2021
464;30;62;25;116;2018
465;30;47;29;116;2019
466;25;45;34;116;2020
467;23;43;26;116;2021
468;42;70;35;117;2018
469;47;53;34;117;2019
470;52;61;50;117;2020
471;64;50;52;117;2021
472;56;82;57;118;2018
473;67;73;50;118;2019
474;51;85;79;118;2020
475;53;72;53;118;2021
476;62;81;35;119;2018
477;60;75;73;119;2019
478;51;93;47;119;2020
479;56;82;42;119;2021
480;44;28;67;120;2018
481;42;31;36;120;2019
482;41;38;33;120;2020
483;48;42;32;120;2021
484;41;76;26;121;2018
485;37;76;50;121;2019
486;34;62;32;121;2020
487;32;73;30;121;2021
488;88;60;34;122;2018
489;74;54;110;122;2019
490;74;50;61;122;2020
491;81;56;72;122;2021
492;29;33;89;123;2018
493;22;40;23;123;2019
494;22;45;24;123;2020
495;18;35;24;123;2021
496;35;78;25;124;2018
497;28;65;27;124;2019
498;25;53;24;124;2020
499;27;50;23;124;2021
500;60;78;39;125;2018
501;71;84;64;125;2019
502;88;69;54;125;2020
503;109;62;105;125;2021
504;69;31;57;126;2018
505;54;29;67;126;2019
506;46;34;48;126;2020
507;56;28;36;126;2021
508;29;57;45;127;2018
509;22;55;36;127;2019
510;18;64;23;127;2020
511;20;48;16;127;2021
512;53;74;41;128;2018
513;46;90;57;128;2019
514;47;84;55;128;2020
515;38;72;48;128;2021
516;38;73;60;129;2018
517;35;91;34;129;2019
518;35;88;34;129;2020
519;43;66;34;129;2021
520;27;28;53;130;2018
521;25;24;30;130;2019
522;24;24;27;130;2020
523;27;24;29;130;2021
524;29;36;29;131;2018
525;28;39;27;131;2019
526;25;44;33;131;2020
527;23;45;26;131;2021
528;26;80;79;132;2018
529;24;93;30;132;2019
530;25;85;20;132;2020
531;28;67;26;132;2021
532;40;79;52;133;2018
533;39;80;38;133;2019
534;44;84;44;133;2020
535;34;80;38;133;2021
536;35;50;56;134;2018
537;40;42;32;134;2019
538;35;37;44;134;2020
539;38;38;37;134;2021
540;57;45;26;135;2018
541;53;43;54;135;2019
542;52;37;53;135;2020
543;59;44;58;135;2021
544;58;68;53;136;2018
545;60;76;57;136;2019
546;65;82;73;136;2020
547;66;87;53;136;2021
548;41;81;49;137;2018
549;49;75;33;137;2019
550;52;75;55;137;2020
551;62;66;55;137;2021
552;80;48;52;138;2018
553;74;40;79;138;2019
554;73;36;65;138;2020
555;70;36;83;138;2021
556;47;55;26;139;2018
557;37;55;48;139;2019
558;36;66;31;139;2020
559;29;81;32;139;2021
560;62;28;54;140;2018
561;62;22;73;140;2019
562;74;18;69;140;2020
563;87;17;63;140;2021
564;74;35;39;141;2018
565;92;35;56;141;2019
566;96;28;76;141;2020
567;116;24;90;141;2021
568;26;61;29;142;2018
569;25;60;26;142;2019
570;27;66;19;142;2020
571;24;80;28;142;2021
572;62;39;40;143;2018
573;59;33;75;143;2019
574;55;26;69;143;2020
575;66;24;66;143;2021
576;47;36;83;144;2018
577;52;32;36;144;2019
578;55;40;40;144;2020
579;60;48;54;144;2021
580;25;52;53;145;2018
581;28;50;25;145;2019
582;31;38;26;145;2020
583;23;36;37;145;2021
584;64;41;64;146;2018
585;76;33;64;146;2019
586;61;39;90;146;2020
587;47;39;46;146;2021
588;33;66;37;147;2018
589;27;63;30;147;2019
590;25;73;31;147;2020
591;29;70;29;147;2021
592;66;35;53;148;2018
593;74;28;72;148;2019
594;83;30;78;148;2020
595;91;32;78;148;2021
596;28;50;25;149;2018
597;23;54;28;149;2019
598;20;62;22;149;2020
599;19;72;21;149;2021
600;57;60;46;150;2018
601;59;73;64;150;2019
602;73;78;70;150;2020
603;85;94;59;150;2021
604;57;32;62;151;2018
605;50;32;48;151;2019
606;38;26;49;151;2020
607;42;21;43;151;2021
608;76;41;44;152;2018
609;85;36;94;152;2019
610;85;45;67;152;2020
611;93;38;90;152;2021
612;69;57;55;153;2018
613;67;66;60;153;2019
614;83;72;53;153;2020
615;83;58;71;153;2021
616;67;50;66;154;2018
617;81;47;55;154;2019
618;82;43;97;154;2020
619;102;44;94;154;2021
620;24;43;44;155;2018
621;26;42;29;155;2019
622;20;44;23;155;2020
623;19;35;17;155;2021
624;43;36;61;156;2018
625;41;33;42;156;2019
626;33;32;35;156;2020
627;29;27;35;156;2021
628;36;42;52;157;2018
629;40;39;43;157;2019
630;44;47;45;157;2020
631;45;38;35;157;2021
632;61;50;65;158;2018
633;52;54;48;158;2019
634;50;44;58;158;2020
635;51;35;48;158;2021
636;42;59;45;159;2018
637;33;65;47;159;2019
638;29;63;36;159;2020
639;31;59;28;159;2021
640;47;56;37;160;2018
641;51;56;58;160;2019
642;45;56;44;160;2020
643;34;69;39;160;2021
644;44;47;63;161;2018
645;50;42;53;161;2019
646;38;46;51;161;2020
647;44;41;42;161;2021
648;46;42;69;162;2018
649;47;41;53;162;2019
650;53;33;45;162;2020
651;40;35;52;162;2021
652;53;66;50;163;2018
653;65;60;58;163;2019
654;76;47;66;163;2020
655;75;54;81;163;2021
656;46;81;36;164;2018
657;45;100;39;164;2019
658;41;102;43;164;2020
659;39;101;50;164;2021
660;45;46;90;165;2018
661;52;42;51;165;2019
662;60;32;60;165;2020
663;62;31;49;165;2021
664;28;76;26;166;2018
665;26;82;34;166;2019
666;27;65;23;166;2020
667;22;68;31;166;2021
668;30;82;50;167;2018
669;30;63;32;167;2019
670;27;60;26;167;2020
671;21;69;21;167;2021
672;39;75;40;168;2018
673;32;80;39;168;2019
674;29;93;34;168;2020
675;24;101;31;168;2021
676;40;74;37;169;2018
677;38;76;31;169;2019
678;41;81;41;169;2020
679;31;98;36;169;2021
680;69;60;50;170;2018
681;82;50;71;170;2019
682;99;46;94;170;2020
683;84;46;75;170;2021
684;55;36;31;171;2018
685;58;36;47;171;2019
686;53;31;66;171;2020
687;57;32;42;171;2021
688;78;29;82;172;2018
689;83;34;90;172;2019
690;84;37;69;172;2020
691;102;43;78;172;2021
692;56;46;63;173;2018
693;57;50;63;173;2019
694;52;46;58;173;2020
695;41;35;54;173;2021
696;41;34;35;174;2018
697;48;33;45;174;2019
698;45;38;50;174;2020
699;38;31;38;174;2021
700;38;81;35;175;2018
701;30;85;31;175;2019
702;33;85;35;175;2020
703;39;99;36;175;2021
704;62;50;30;176;2018
705;77;62;76;176;2019
706;78;55;82;176;2020
707;68;42;80;176;2021
708;39;59;56;177;2018
709;37;52;45;177;2019
710;33;47;46;177;2020
711;34;58;41;177;2021
712;73;67;41;178;2018
713;67;53;58;178;2019
714;53;41;79;178;2020
715;54;34;43;178;2021
716;55;69;57;179;2018
717;46;74;45;179;2019
718;46;77;54;179;2020
719;54;70;42;179;2021
720;73;56;67;180;2018
721;76;45;82;180;2019
722;81;53;79;180;2020
723;79;40;74;180;2021
724;49;75;89;181;2018
725;51;66;53;181;2019
726;54;75;46;181;2020
727;65;76;47;181;2021
728;39;46;55;182;2018
729;35;55;42;182;2019
730;40;59;43;182;2020
731;33;71;49;182;2021
732;81;67;32;183;2018
733;79;68;64;183;2019
734;91;81;81;183;2020
735;85;71;99;183;2021
736;46;62;47;184;2018
737;42;50;48;184;2019
738;45;57;49;184;2020
739;48;52;35;184;2021
740;77;39;64;185;2018
741;78;38;68;185;2019
742;61;42;78;185;2020
743;76;44;50;185;2021
744;64;61;43;186;2018
745;74;49;58;186;2019
746;87;46;68;186;2020
747;108;52;81;186;2021
748;53;67;63;187;2018
749;55;83;58;187;2019
750;55;69;63;187;2020
751;68;64;56;187;2021
752;40;54;40;188;2018
753;38;49;49;188;2019
754;41;46;46;188;2020
755;36;40;37;188;2021
756;34;35;57;189;2018
757;34;43;30;189;2019
758;36;33;35;189;2020
759;43;25;36;189;2021
760;36;71;42;190;2018
761;39;59;41;190;2019
762;40;54;43;190;2020
763;36;53;49;190;2021
764;67;29;35;191;2018
765;56;34;79;191;2019
766;46;27;69;191;2020
767;50;32;46;191;2021
768;33;32;64;192;2018
769;32;26;30;192;2019
770;36;25;31;192;2020
771;28;28;40;192;2021
772;35;40;32;193;2018
773;29;36;39;193;2019
774;31;44;22;193;2020
775;34;36;30;193;2021
776;40;33;58;194;2018
777;31;39;45;194;2019
778;25;44;26;194;2020
779;30;45;28;194;2021
780;76;81;51;195;2018
781;71;70;60;195;2019
782;87;70;55;195;2020
783;108;82;92;195;2021
784;35;70;61;196;2018
785;35;87;27;196;2019
786;34;87;38;196;2020
787;29;80;36;196;2021
788;34;41;40;197;2018
789;36;40;36;197;2019
790;34;45;28;197;2020
791;30;42;40;197;2021
792;76;52;39;198;2018
793;66;55;91;198;2019
794;68;63;82;198;2020
795;73;61;85;198;2021
796;59;52;83;199;2018
797;54;54;62;199;2019
798;53;65;56;199;2020
799;57;51;42;199;2021
800;40;37;30;200;2018
801;37;45;37;200;2019
802;44;38;36;200;2020
803;45;47;49;200;2021
804;35;64;57;201;2018
805;34;75;35;201;2019
806;34;90;35;201;2020
807;41;75;39;201;2021
808;24;82;40;202;2018
809;21;63;24;202;2019
810;25;70;25;202;2020
811;26;65;30;202;2021
812;61;68;65;203;2018
813;52;72;62;203;2019
814;56;68;55;203;2020
815;60;53;52;203;2021
816;53;73;65;204;2018
817;65;87;41;204;2019
818;79;90;76;204;2020
819;95;76;64;204;2021
820;60;79;83;205;2018
821;69;69;66;205;2019
822;57;67;75;205;2020
823;52;51;47;205;2021
824;48;35;86;206;2018
825;51;40;41;206;2019
826;62;37;60;206;2020
827;74;45;60;206;2021
828;62;50;30;207;2018
829;58;51;69;207;2019
830;47;47;44;207;2020
831;46;49;49;207;2021
832;62;83;39;208;2018
833;49;85;52;208;2019
834;45;94;54;208;2020
835;47;75;38;208;2021
836;76;81;51;209;2018
837;70;85;65;209;2019
838;82;71;63;209;2020
839;72;75;82;209;2021
840;84;35;45;210;2018
841;104;31;93;210;2019
842;94;26;84;210;2020
843;81;29;85;210;2021
844;49;34;44;211;2018
845;47;40;43;211;2019
846;51;34;37;211;2020
847;54;28;54;211;2021
848;37;54;53;212;2018
849;32;48;38;212;2019
850;38;59;24;212;2020
851;35;52;36;212;2021
852;55;59;27;213;2018
853;52;56;56;213;2019
854;48;54;64;213;2020
855;53;54;37;213;2021
856;77;79;64;214;2018
857;66;80;70;214;2019
858;53;71;78;214;2020
859;45;56;50;214;2021
860;89;80;43;215;2018
861;69;90;85;215;2019
862;67;94;71;215;2020
863;79;109;53;215;2021
864;34;32;39;216;2018
865;36;39;26;216;2019
866;36;31;37;216;2020
867;40;31;41;216;2021
868;51;53;36;217;2018
869;55;49;62;217;2019
870;44;53;47;217;2020
871;46;57;50;217;2021
872;62;60;44;218;2018
873;55;52;57;218;2019
874;59;51;56;218;2020
875;47;41;47;218;2021
876;67;79;62;219;2018
877;78;78;76;219;2019
878;92;77;80;219;2020
879;83;68;88;219;2021
880;30;65;46;220;2018
881;24;77;37;220;2019
882;30;90;23;220;2020
883;37;89;34;220;2021
884;35;49;79;221;2018
885;32;53;27;221;2019
886;36;54;37;221;2020
887;42;60;37;221;2021
888;34;41;46;222;2018
889;35;34;36;222;2019
890;26;36;32;222;2020
891;22;33;29;222;2021
892;27;41;34;223;2018
893;24;47;31;223;2019
894;20;46;23;223;2020
895;19;53;19;223;2021
896;81;41;58;224;2018
897;74;41;66;224;2019
898;64;40;57;224;2020
899;66;42;61;224;2021
900;25;40;30;225;2018
901;23;43;26;225;2019
902;21;42;19;225;2020
903;24;49;22;225;2021
904;90;29;50;226;2018
905;106;30;95;226;2019
906;128;26;98;226;2020
907;106;23;115;226;2021
908;39;44;38;227;2018
909;42;38;37;227;2019
910;46;46;41;227;2020
911;37;37;53;227;2021
912;92;70;34;228;2018
913;77;67;99;228;2019
914;62;61;89;228;2020
915;47;68;47;228;2021
916;92;40;38;229;2018
917;107;43;96;229;2019
918;91;53;82;229;2020
919;87;62;84;229;2021
920;50;60;57;230;2018
921;45;53;38;230;2019
922;42;64;53;230;2020
923;48;50;49;230;2021
924;45;31;44;231;2018
925;38;33;38;231;2019
926;46;28;29;231;2020
927;56;22;44;231;2021
928;69;35;44;232;2018
929;72;26;59;232;2019
930;81;25;67;232;2020
931;98;24;82;232;2021
932;36;38;52;233;2018
933;42;30;41;233;2019
934;44;36;42;233;2020
935;48;30;43;233;2021
936;28;35;41;234;2018
937;22;27;28;234;2019
938;18;26;25;234;2020
939;21;31;15;234;2021
940;42;53;78;235;2018
941;46;57;34;235;2019
942;46;58;57;235;2020
943;46;47;42;235;2021
944;37;64;56;236;2018
945;28;76;37;236;2019
946;26;61;34;236;2020
947;23;58;20;236;2021
948;54;69;90;237;2018
949;52;71;48;237;2019
950;42;61;48;237;2020
951;35;46;35;237;2021
952;44;71;28;238;2018
953;53;65;49;238;2019
954;46;76;41;238;2020
955;53;64;38;238;2021
956;47;75;32;239;2018
957;45;87;53;239;2019
958;40;82;35;239;2020
959;35;94;41;239;2021
960;65;31;69;240;2018
961;79;36;71;240;2019
962;69;38;96;240;2020
963;73;47;53;240;2021
964;90;58;40;241;2018
965;96;51;107;241;2019
966;80;48;72;241;2020
967;88;51;93;241;2021
968;65;69;47;242;2018
969;66;86;68;242;2019
970;53;107;66;242;2020
971;65;122;60;242;2021
972;33;41;64;243;2018
973;27;39;27;243;2019
974;30;36;21;243;2020
975;29;37;25;243;2021
976;29;34;53;244;2018
977;35;40;30;244;2019
978;43;32;35;244;2020
979;50;26;49;244;2021
980;83;42;57;245;2018
981;71;36;88;245;2019
982;63;32;72;245;2020
983;64;35;55;245;2021
984;66;62;63;246;2018
985;64;73;65;246;2019
986;63;70;48;246;2020
987;65;61;50;246;2021
988;48;41;77;247;2018
989;45;35;38;247;2019
990;44;32;50;247;2020
991;35;35;55;247;2021
992;46;33;47;248;2018
993;37;26;53;248;2019
994;35;27;42;248;2020
995;30;29;32;248;2021
996;63;30;30;249;2018
997;77;28;47;249;2019
998;93;21;92;249;2020
999;112;17;110;249;2021
1000;25;57;30;250;2018
1001;27;58;25;250;2019
1002;32;50;28;250;2020
1003;37;46;32;250;2021
1004;33;74;79;251;2018
1005;29;87;40;251;2019
1006;27;93;22;251;2020
1007;32;83;25;251;2021
1008;33;37;49;252;2018
1009;30;29;29;252;2019
1010;36;29;29;252;2020
1011;40;31;38;252;2021
1012;40;83;33;253;2018
1013;33;98;42;253;2019
1014;39;81;26;253;2020
1015;46;90;44;253;2021
1016;50;81;40;254;2018
1017;46;72;62;254;2019
1018;53;55;36;254;2020
1019;59;42;45;254;2021
1020;51;74;49;255;2018
1021;61;67;45;255;2019
1022;63;74;72;255;2020
1023;78;91;78;255;2021
1024;26;59;60;256;2018
1025;24;64;23;256;2019
1026;19;52;26;256;2020
1027;17;61;16;256;2021
1028;59;37;32;257;2018
1029;65;36;68;257;2019
1030;70;42;58;257;2020
1031;76;33;77;257;2021
1032;57;81;70;258;2018
1033;68;83;63;258;2019
1034;82;65;73;258;2020
1035;81;70;64;258;2021
1036;27;60;55;259;2018
1037;31;45;29;259;2019
1038;32;56;32;259;2020
1039;36;53;37;259;2021
1040;56;56;85;260;2018
1041;51;67;47;260;2019
1042;44;75;42;260;2020
1043;52;92;48;260;2021
1044;67;29;43;261;2018
1045;75;36;60;261;2019
1046;64;29;88;261;2020
1047;61;35;77;261;2021
1048;31;35;25;262;2018
1049;37;34;28;262;2019
1050;43;26;44;262;2020
1051;46;31;37;262;2021
1052;26;39;27;263;2018
1053;27;39;26;263;2019
1054;24;37;26;263;2020
1055;25;46;21;263;2021
1056;54;35;33;264;2018
1057;63;39;47;264;2019
1058;68;39;79;264;2020
1059;65;35;74;264;2021
1060;48;34;63;265;2018
1061;41;36;49;265;2019
1062;32;44;49;265;2020
1063;33;55;39;265;2021
1064;23;81;41;266;2018
1065;22;91;29;266;2019
1066;26;109;24;266;2020
1067;30;122;30;266;2021
1068;35;69;86;267;2018
1069;40;65;39;267;2019
